AH1-V-ER0-M-EH2-N-T-AH0-L-IY0, GOVERNMENTALLY
AH1-L-P-EY0-T, EXCULPATE
AH1-M-AH0-N-Z-AH0-Z, SUMMONSES
EH1-N-S-M-AH0-N, BENSMAN
AA1-N-T-R-EY2-G-ER0, BONTRAGER
AE1-N-JH-AH0-L-UW2, ANGELOU
AE1-P-AH0-N-B-ER0-G-ER0, KNAPPENBERGER
AA1-R-T-AH0, BARTA CARTA CHARTA DJAKARTA ENCARTA(2) JAKARTA MARTA SPARTA VALLARTA
AO1-R-M-AH0, FORMA NORMA PERFORMA REFORMA TORMA
EY1-D-R-IY2-M, DAYDREAM
IH1-L-AH0-M-IY2-T-ER0-Z, KILOMETERS(2) MILLIMETERS
IH1-N-HH-AA2-R-T, LINHARDT LINHART
IY1-F-ER0-Z, BRIEFERS
OW1-G-AH0-L-S-AH0-N, FOGELSON
OW1-N-IY0-OW0, ANTONIO COLANTONIO COTRONEO DANTONIO DIANTONIO MARCANTONIO PETRONIO POMPONIO
AE1-B-OW0, CABOK GRABOW LABOW
OW1-S-AH0-N-T, DOCENT
IY1-K-S-AH0-S, SEIXAS
OW1-T-M-EH0-N-Z, BOATMEN'S
AA1-N-AH0-K-ER0, HONAKER SLONAKER
AW1-D-F-UH2-T, PROUDFOOT
AA1-SH-T-R-AH2, MAHARASHTRA
OW1-V-EH0-K-S, OVEX
AE1-S-K-AA2-T, ASCOT MASCOT
UH1-L-D-AO2-G, BULLDOG
AE1-M-W-IH0-CH-AH0-Z, SANDWICHES(3)
UW1-B-IY0-AE0-K, KUBIAK
UW1-D-K-IY0, LUEDKE
UW1-M-AH0-N-Z, HUMAN'S HUMANS NEWMAN'S SCHUMANN'S TRUMAN'S YOUMANS
AH1-T-S-IY0, UTSEY
UW1-P-ER0-M-IH2-N-IY0-K-AH0-M-P-Y-UW2-T-ER0, SUPERMINICOMPUTER
UW1-R-G-ER0, BUERGER
IY1-Z-IY0-ER0, CHEESIER EASIER
OW1-T-ER0-AH0-N, MOTOREN
AY1-G-IY0-Z, GEIGY'S
AE1-N-AH0-S-IY0-L-AE2-N-D, FANTASYLAND(2)
EY1-NG-G-EH0-L-AY0-N, ANGELINE
EY1-S-T-R-EY0, SILVESTRE
AE1-N-F-IH0-R, LANPHIER
AH1-T-L-IH2-P, CUTLIP
AE1-S-AH0-S-IH2-Z-AH0-M, CLASSICISM
AE1-B-S-AH0-N-T, ABSENT
EH1-M-OW0-T-EH2-K, HEMOTEC MEMOTEC
ER1-K-HH-AY2-M, DURKHEIM
EY1-V-AH0-N-TH-AA0-L, LAVENTHOL
IH1-L-HH-AY2-T, WILHITE WILLHITE
IH1-N-F-ER0-D, BINFORD LINFORD LYNFORD SWINEFORD SWINFORD WINFORD
IY1-R-IH0-NG-Z, EARRINGS(2)
EH1-V-AH0-N-D, LEAVENED
EH1-R-S-EY0, DARESAY
IH1-P-T-OW0-S, KRYPTOS
AA1-R-V-AH0-L, ARVAL HARVEL HARVELL LARVAL MARVEL
EH1-S-T-ER0-M-AH0-N, CHESTERMAN TESTERMAN WESTERMAN WESTERMANN
EH1-G-R-IY0-AH0, ALEGRIA
AE1-M-F-AH0-B-OW2-L, AMPHIBOLE
AE1-L-B-AH0-M, ALBUM
AE1-F-N-IY0-AH0-M, HAFNIUM
UW1-ZH-ER0-IY0, USURY
ER1-F-AE2-S, SERFASS
IY1-Z-L-IH0-NG, KEASLING KEESLING KIESLING RIESLING
AE1-B-AH0-T-IH0-NG, COHABITING INHABITING
IH1-N-T-ER0-P-L-EY2, INTERPLAY
AA1-S-IH0-CH, KASICH
AE1-T-OW0-K-AE2-S-T-ER0, STRATOCASTER
AY1-T-B-AH2-L-B, LIGHTBULB
AA1-G-L-IH0-NG, BOGGLING(2) TOGGLING
IH1-NG-K-AH0-V-IH0-JH, PINCAVAGE
IH1-T-IY2-D, PITIED
AO1-R-S-HH-EH2-D, HORSEHEAD
EH1-T-R-OW0-B-AE2-NG-K, METROBANC METROBANK
IH1-R-IY0-AH0-N-S, EXPERIENCE INEXPERIENCE
OW1-M-AH0-N-AH0-N-S, CHROMINANCE
EH1-K-T-R-AA0-N-Z, ELECTRONS
AH1-L-P-T-S, SCULPTS
UW1-Z-P-EY2-P-ER0-Z, NEWSPAPER'S NEWSPAPERS NEWSPAPERS'
AE1-N-K-EY2-K-T, PANCAKED
AE1-D-S, ADSS CADS
EH1-L-T-S-L-IY0, HELTSLEY
UW1-V-AH0-N-EY2-T-S, REJUVENATES
AE1-N-T-R-IH2-P, LANTRIP
AE1-N-Z-IH0-G-ER0, DANZIGER
IH1-NG-G-R-AH0-M, INGRAM INGRUM
IH1-L-S-K, NORILSK
IH1-N-AH0-F-EH2-L-T-ER0, LINAFELTER
AY1-N-R-IH0-K, HEINRICH WEINRICH
OW1-V-IY0-EH2-T-S, SOVIET'S SOVIETS SOVIETS'
UH1-D-HH-AH2-L, WOODHULL
AE1-N-CH-EH0-Z, SANCHEZ TRANCHES
UW1-AH0-L-ER0-Z, JEWELERS JEWELLERS
EH1-M-B-ER0-L-IH0-NG, GEMBERLING
ER1-B-IY0-F-IH2-L, TURBYFILL
AE1-M-L-IH0-K, GRAMLICH KRAMLICH
AO1-R-TH-AH0-L-Z, KORTHALS
AE1-K-B-ER0-D-Z, BLACKBIRDS
EH1-R-AH0-T-L-OW0, FERETLOW
AH1-L-AH0-N, BULEN CULLAN CULLEN GRULLON HULEN KILCULLEN MACMULLEN MCCULLEN MCMULLAN MCMULLEN MCMULLIN MULLAN MULLANE MULLEN SMULLEN SULLEN
EH1-L-AH0-M, ANTEBELLUM ELAM FLAGELLUM KELLAM KELLUM MELHEM PELHAM PELLUM ZELEM
AW1-N-T-ER0-F-IH2-T-ER0, COUNTERFEITER
OW1-V-ER0-V-AE2-L-Y-UW0, OVERVALUE
AE1-NG-K-T-AH0-T-IY0, SANCTITY
UH1-D-W-AY2-N, GOODWINE
IH1-F-IH0-K-AO0-R-P, PACIFICORP
AE1-K-AH0-B-AY2-N, JACOBINE
UW1-P-L-AH0-K-AH0-T, DUPLICATE
AA1-N-AH0-M-OW0-Z, HERRONIMO'S
AO1-L-F-ER0-T, DALFORT
ER1-M-AH0-D-Z, BIRMID'S
EY1-V-L-AY2-N, GRAVELINE
AY1-K-AH0-N-Z, AIKINS LICHENS LIKENS LYKENS
EY1-S-AH0-B-AH0-L, EMBRACEABLE ERASABLE IRREPLACEABLE REPLACEABLE TRACEABLE UNTRACEABLE
AA1-NG-K-AA0-R, JAYASHANKAR
AE1-L-N-AH0-K-ER0, STALNAKER
AA1-Y-UW0, KISMAYU RAJU
AE1-F-N-IY0, DAPHNE GAFFNEY
IY1-TH-IH0-NG, SEETHING
OW1-R-IH0-G-AA2-R-D, BEAUREGARD
AA1-T-L-ER0, BOTTLER COTLER(2) KOTLER(2) KOTTLER ROTTLER STOTLER
EY1-S-T-ER0, EYSTER TASTER TRAISTER WASTER
IH1-N-ER0-V-Y-UW2-Z, INTERVIEWS(2)
EH1-N-AH0-T-R-EY2-T, PENETRATE
AA1-N-T-K-OW0, ONTKO
AH1-L-OW0-Z, TULLOS
AY1-B-OW0-G-EY0-N, IBOGAINE
IH1-SH-R-AH0, MISHRA
OY1-OW0, ARROYO KOYO
AE1-K-AH0-L-W-EY2-N, MCELWAIN MCELWAINE
EY1-T-AH0-L-AH0-S-S, FATALISTS(2)
IY1-B-L-IY0, FEEBLY
AE1-N-AH0-F-AA0-R, GHORBANIFAR
IH1-R-AH0-T-S, SPIRITS
IH1-N-AH0-K-AH0-L, CLINICAL PINNACLE
AA1-R-T-L-IY2-B, HARTLIEB
AH1-M-P-AH0-N-IY0-W-AY2-D, COMPANYWIDE
AE1-K-S-IY0-K-AE2-B-Z, TAXICABS
IH1-M-P, BLIMP CHIMP CRIMP IMP LIMP PIMP PRIMP SCRIMP SHIMP SHRIMP SKIMP SLIMP TIMPE TRIMPE WIMP
IH1-M-P-R-AH0-V-AY2-Z, IMPROVISE
AA1-L-K-AH0-N, ABALKIN BIALKIN
AO1-L-D-AH0-N, HALDEN MALDEN WALDEN WALDON
ER1-L-ER0, CURLER ERLER TWIRLER
AE1-M-AH0-F-AA0-N, GRAMMOPHON
IY1-V-IH2-N, BEAVIN
IH1-L-Y-AH0-N-TH, BILLIONTH MILLIONTH
AE1-N-Y-AH0, BANYA(2) ESPANA
AH1-K-SH-AH0-N, ABDUCTION CONDUCTION CONSTRUCTION DECONSTRUCTION DEDUCTION DESTRUCTION INDUCTION INSTRUCTION INTRODUCTION OBSTRUCTION OVERPRODUCTION PRODUCTION RECONSTRUCTION REDUCTION REINTRODUCTION REPRODUCTION SEDUCTION SUCTION
AO1-Z-M-AH0-N-AO2-T-S, COSMONAUTS
EH1-K-SH-AH0-N-IH0-NG, SECTIONING
EH1-R-AA0-L, CLAIROL
IH1-P-L-AE2-SH, WHIPLASH
AE1-S-AH0-T-OW2-N, ACETONE
AO1-HH-R-AO2-L-Z, WARHOL'S
AH1-D-W-AY0-Z-ER0, BUDWEISER
IH1-K-L-EH0-DH-ER0, STIKELEATHER(2)
AO1-R-SH-IY0, FORSHEE FORSHEY
AO1-F-N-AH0-S, SOFTNESS(2)
AA1-S-B-ER0-OW0, ROSBOROUGH
AA1-R-M-F-IY2-L-D, ARMFIELD
EY1-CH, BACHE(2) BLAICH GMBH(2) H H. HGH KWH LAICHE MH MPH PH PIH(2) RAICHE SH TH
EY1-L-S-AH0, AILSA
IH1-P-AH0-T-AH0-N-S, OMNIPOTENCE
AO1-R-P-ER0-AH0-T, CORPORATE
AE1-K-AH0-L-D-AW2-N-IY0, MCELDOWNEY
AH1-N-D-IH0-NG-HH-AE2-M, VALLANDINGHAM
EH1-G-AH0-HH-AW2-S-AH0-Z, MEGAHOUSES
ER1-OW0-N-AH0-S, THOROUGHNESS
IY1-T-W-OW2-L, HEATWOLE
IH1-M-AH0-TH-IY0, TIMOTHY
AA1-ZH-AH0-Z, BARRAGES COLLAGES GARAGES MASSAGES MIRAGES
AA1-JH-IH0-K-AA2-N, LOGICON
AE1-T-ER0-AY2-Z-IH0-NG, SATIRIZING
AY1-L-D-L-AH0-S, CHILDLESS
EH1-M-F-IH0-K-S, CHEMFIX
IH1-N-V-IH2-T-R-AA0-N-Z, INVITRON'S
IY1-R-S-AY2-T-AH0-D-N-AH0-S, NEARSIGHTEDNESS
EH1-N-T-N-IY0-EH2-K-S, PRENTNIEKS
EY1-V-ER0-IH2-S-T, FLAVORIST
AA1-TH-AH0-S-AY2-Z, HYPOTHESIZE
IH1-N-T-EH2-K, BRINTEC MINNTECH SYNTECH
UW1-AH0-T-EH2-R-IY0, PITUITARY
EH1-K-T-IH0-V-IH2-S-T, COLLECTIVIST
AE1-L-Z-G-R-AE0-F, PFALZGRAF
AE1-N-T-IY0-Z, ANTES DANTE'S PANTIES SHANTIES VIGILANTES
EH1-K-T-AH0-D-IY0, SCHENECTADY
IH1-NG-G-R-AH0-D, INGRID
AE1-N-D-AH0-V-AH0-N, VANDEVEN
IH1-K-R-IY0, HICKORY(2) VICKREY
AO1-S-HH-AA2-R-T, BOSSHARDT BOSSHART
AY1-AW2-T, BUYOUT TRYOUT
UW1-CH-AH0-W-AH0-L-Z, MUTUAL'S
OW1-T-ER0-K-EY2-D-Z, MOTORCADES
AA1-L-AH0-CH-EH0-K, POLACEK ROHLICEK
AA1-N-AH0-K-L-AE2-S-T, ICONOCLAST
OW1-L-S-T-AA2-K, COLESTOCK
EH1-L-N-EH0-T, TELNET
AA1-R-AH0-JH-AH0-B-AH0-L, INCORRIGIBLE
AA1-R-N-S-IY0, GARNSEY
AE1-L-AH0-T, BALLOT MALLET MALLETT PALATE PALETTE PALLET PALLETT VALLOT
UW1-N-IY0-Z, MOONIES ROONEY'S
IH1-K-SH-AH0-N-AH0-L-AY2-Z-D, FICTIONALIZED
IH1-N-AH0-L-EH2-K-T-S, INTELLECTS(2)
EH1-L-AH0-F-AA2-N, TELEFON
IH1-N-ER0-JH-EH2-N-Z, SYNERGEN'S
AA1-L-AH0-D-EY2, GOLLADAY HOLIDAY HOLLADAY HOLLIDAY
AA1-P-K-IY2-P-ER0, SHOPKEEPER
UH1-M-AH0-N-AY2-Z-IH0-NG, WOMANIZING
AH1-M-P-AH0-T-ER0, TRUMPETER
EY1-JH-M-AH0-N-T-S, ENGAGEMENTS
IY1-Z-T-EH0-P, EASTEP
UW1-SH-AH0-S, CONFUCIUS LUCIUS MOSHUS(2)
AE1-D-R-IH2-L, MADRIL
EH1-K-S-T-R-AH0-Z, EXTRAS
ER1-M-N-AH0-S, FIRMNESS
UW1-N-ER0-AH0-T-IH0-V, REMUNERATIVE
IH1-N-T-IH0-JH, VINTAGE
EH1-N-Z-IY0-AH0-N, DICKENSIAN
AY1-T-IY2, WHITEY
AA1-R-P-AH0-T-AH0-D, CARPETED
EH1-N-Y-UW0-AH0-S, DISINGENUOUS INGENUOUS STRENUOUS
IH1-S-K-R-AO2-S-IH0-NG, CRISSCROSSING
EH1-Z-D-N-ER0, DRESDNER
OW1-V-AA0-L, STOVALL
OW1-N-HH-AW2-S, STONEHOUSE
AY1-D-S-T-EH2-P-S, SIDESTEPS
AY1-F-G-AA2-R-D-Z, LIFEGUARDS
EH1-N-IH0-JH-AH0-Z, PERCENTAGES(2)
EY1-K-AO2-R, JACOR TRACOR(3)
IY1-W-ER2-L-D, EWORLD
AE1-S-AY0, BASYE
AW1-T-L-UH2-K-S, OUTLOOKS
IH1-R-IY0-S-AH0-M, WEARISOME
EH1-Z-AH0-T-AH0-N-S-IY0, HESITANCY
AA1-S-T-AH0-N-Z, BOSTON'S
IY1-B-AH0-S-AY2-T, PLEBISCITE(2)
AA1-R-K-S-V-IH2-L, CLARKSVILLE
AO1-P-L-ER0, OPPLER
AE1-M-AH0-N-T, MCCAMANT STAMANT
ER1-T-F-AH0-L, HURTFUL
EH1-TH-N-IH0-K-L-IY0, ETHNICALLY
AA1-R-D-OW2-L-F, ARDOLPH BARDOLF
UW1-K-L-AE0-F, UCLAF(2)
AE1-N-AH0-T-IY0, CHRISTIANITY HANNITY HUMANITY INHUMANITY INSANITY PROFANITY SANITY VANITY
AH1-N, BEGUN BRUHN BRUN BRUNN BUN BUNN BYUN C1 CHUN CHUNN DONE DONNE DUN DUNN DUNNE FUN GRUHN GRUN GUN GUNN HOMERUN HON(2) HUHN HUN HUNN HYUN(2) IN JUN KUHNE KUN LAJEUNE LUHN LUN LUNN M1 MCFUN MCMUNN MUN MUNN NONE NUHN NUN NUNN ONE OUTDONE OUTRUN OVERDONE PUGET-1 PUN REDONE RERUN RUN RUNT SHUN SIMEONE SON SPUN STUN SUN TERREBONNE(2) THRUN THUN TON TONNE UN UNDONE WON YOUN YUN
EH1-K-S, ANNEX(2) ATX BECK'S BECKS BLECH'S CALTEX CHECKS CMX COMPLEX(2) CONVEX CZECHS DEC'S DECKS DEX DISSECTS(2) ECKES EFFECTS(2) EX EXECS EXPECTS(2) FLECKS FLEX GOVPX HECK'S HEX INTERSECTS(3) JEX LEX MECKES MEGAPLEX MEX NECKS NEXT(2) NOBEC'S OBJECTS(4) ONEX PECK'S PECKS PERPLEX PLEX PROJECTS(4) QUEBEC'S REFLECTS(2) REJECTS(3) RESPECTS(3) REX SEX SHECK'S SHEK'S SPECKS SPECS SUSPECTS(3) TECH'S TECHS TECK'S TEX TREKS VEX WALL-TEX WRECKS X X.
AE1-D-V-EH2-N-T-AH0-S-T, ADVENTIST
AO1-R-AH2-SH-UH2-R, ORASURE
AY1-N-B-R-IH2-NG-K, STEINBRINK
OW1-D-AH0-K-AH2-L-ER0, KODACOLOR
EH1-B-UH0-R, DEBUHR
EH1-N-D-IH0-K-S-AH0-Z, APPENDIXES
AA1-V-ER0-B-Z, PROVERBS
EH1-N-AH0-M-IY0, ARCHENEMY ENEMY MCMENAMY MCMENEMY
EH1-S-T-L-IY0, WESTLEY
AY1-D-AA0-R-M-Z, SIDEARMS
AO1-L-HH-EY2-M-AH0-S, PAULHAMUS
IY1-M-IY0-AH0-Z, ANEMIAS
AH1-L-AH0-B-ER0, HULLIBER
ER1-T-AH0-B-R-EY2, VERTEBRAE
IY1-V-IH0-NG, ACHIEVING BELIEVING CONCEIVING DECEIVING DISBELIEVING GEVING GRIEVING HEAVING INTERLEAVING INTERWEAVING LEAVING PERCEIVING RECEIVING RELIEVING RETRIEVING SELF-DECEIVING THIEVING UNBELIEVING WEAVING
OW1-N-IY0-AH0-Z, MACEDONIA'S
IH1-S-T-AH0-N-T-S, ASSISTANTS
IY1-L-IH0-NG-L-IY0, APPEALINGLY
EH1-T-L-IH0-K, SVETLIK
AE1-F-IY0-AH0, MAFFIA
ER1-N-B-UH2-L, TURNBULL
AH1-N-IY0-M-UW2-N-ER0-Z, HONEYMOONERS
EH1-NG-K-T, BENGT
EH1-TH-ER0-AH0-L, WETHERELL WETHERILL
AO1-TH-K-AO0-P-F, ROTHKOPF
AE1-TH-R-OW2-B, BATHROBE
AO1-R-IY0-AH0-S, BOREAS GLORIOUS INGLORIOUS LABORIOUS MERITORIOUS NOTORIOUS SARTORIUS VICTORIOUS
EH1-D-IH0-K-EY2-T-AH0-D, MEDICATED
EH1-N-T-AH0-L-W-UH2-M-AH0-N-Z, GENTLEWOMAN'S
AE1-N-D-K-IH2-D, GRANDKID
AY1-P-EH0-D-Z, BIPEDS
EH1-K-N-EH2-L, BECKNELL
EH1-N-IY0-HH-W-EH2-R, ANYWHERE(2)
AE1-V-ER0-AH0-L, AVERYL CANAVERAL
EH1-T-S-K-EY2-P-S, NETSCAPE'S
AA1-N-D-AH0-M-Z, CONDOMS
AE1-N-S-AH0-L-IH0-NG, CANCELING CANCELLING
IH1-F-AH0-D-AH0, BIFIDA
IH1-SH-UW0, ISSUE REISSUE TISSUE(2)
ER1-B-AH0-S-AY2-D-Z, HERBICIDES
IY1-L-OW0, CELO(2) DATTILO EMILO FILO GARGUILO GIELOW HILO PHILO
IY1-T-L-AH0-S, MEATLESS
IY1-V-R-IH2-N, HEAVRIN
OW1-L-ER0-Z, BOLAR'S BOWLERS COMPTROLLER'S CONTROLLER'S CONTROLLERS ROLLERS STROLLERS WOHLERS
OW1-L-T-S-M-AH0-N, HOLTZMAN STOLTZMAN
OW1-M-OW0, BELLOMO BENCOMO BUONOMO COMO CRISOSTOMO CUOMO HOMO NOMO PALOMO PERDOMO POVEROMO ROMO SHOMO SUMATOMO SUMITOMO
UH1-K-IH0-NG-Z, BOOKINGS BROOKINGS
AE1-N-AH0-M-EY2-T-ER0-Z, ANIMATORS
AA1-B-K-AE2-T, BOBCAT
AW1-AH0-L-T-ER0, SCHOWALTER
AE1-S-G-R-EY2-N, CASGRAIN
AO1-R-EH0-S-T-V-IH2-L, FORESTVILLE
EH1-V-R-ER0-D, EVRARD
IH1-NG-M-AA0-R, INGMAR
IH1-S-OW0-M, CHISOLM
IY1-M-EH0-N, FREEMEN LEMEN
AY1-V-D, ARRIVED CONTRIVED DEPRIVED DERIVED DIVED LIVED REVIVED SHORTLIVED(2) SURVIVED THRIVED
OW1-K-R-UW2-M, CLOAKROOM
EH1-D-W-ER0-D, EDUARD EDWARD
EY1-T-IH2-Z-AH0-M, STATISM
OW1-L-T-Z-IH0-NG-ER0, HOLTZINGER
EH1-R-AH0-B-AE2-D, HYDERABAD
IY1-AH0-L-T-ER0, REALTOR
AH1-K-AH0-L-D, BUCKLED CHUCKLED KNUCKLED
AA1-L-AH0-P, DOLLOP POLYP WALLOP
AE1-N-D-S-T-R-AH0, ZANDSTRA
AW1-M-G-AA2-R-D-N-ER0, BAUMGARDNER
IH1-N-S-EH2-N-S-T, INCENSED
AA1-SH-AO0, CROSHAW HOSHAW
EH1-K-S-P-L-OY2-T-S, EXPLOITS
IH1-SH-AH0-L-D, INITIALED
AH1-F-IY0, BUFFY CUFFEE DUFFEE DUFFEY DUFFIE DUFFY FLUFFY GUFFEY GUFFY HUFFY MCDUFFEE MCDUFFIE MCDUFFY MCGUFFEE MCGUFFEY MCGUFFIE MUFFY PUFFY SCRUFFY STUFFY
AH1-L-AH0-N-IH0-K-S, MULLENIX(2)
AH1-P-L-AH0-N-D, UPLAND
AA1-R-M-AH0-K-AH0-S, YARMULKES(2)
AO1-R-P, CORP CORP. PHLCORP THORP THORPE TORP WARP
EH1-K-S-IH2-Z-AH0-M, SEXISM
AE1-L-AH0-B, GALEB
AH1-B-L-AH0-S-AY2-Z-IH0-NG, PUBLICIZING
EH1-K-T-AH0-F-AY2, RECTIFY
EH1-L-K-OW0, BELKO CODELCO COPELCO DELCO ELCO ELKO FIDELCO GELCO INTELCO NORELCO PAVELKO STELCO TELCO WELLCO ZELKO
EH1-M-AY2-R, HEHMEYER
IH1-K-L-IH2-F, WICKLIFF WICKLIFFE WYCLIFF
IH1-L-F-ER0-T, WILFERT
IH1-R-B-AA2-R-ER0, BIERBARROR
AA1-N-F-IH2-L-Z, MONFILS
OW1-L-CH, BOLCH DOLCH
OW1-V-ER0-AE2-K-T-AH0-D, OVERACTED
UH1-R-K-S-AH0-N, DUERKSEN
AH1-L-B-R-EH0-TH, CULBRETH
UW1-B-AH0-N-AH0-JH, CONCUBINAGE
AA1-L-EH2-TH, DALETH
AE1-K-W-EH2-L-Z, SNACKWELL'S SNACKWELLS
AE1-N-T-W-EH2-L, CANTWELL
AE1-N-T-AH0-L-OW2-N, PANTALONE
AH1-N-S-T, DUNST GUNST KUNST
AY1-N-D-IH0-NG-Z, FINDINGS
AY1-V-AE2-L-V-Z, BIVALVES
EH1-D-R-AH0-S-EH2-K, GENDRISEK
EH1-SH-AH0-L-AA2-N, ECHELON
IH1-K-S-T-IY2-N-Z, DICKSTEIN'S(2)
AH1-D-AH0-HH-IY0, CUDAHY
AA1-R-D-EY2-K-ER0, HARDACRE
AA1-R-L-Z-B-ER0-G, CARLSBERG
AA1-R-SH-AH0-L-IH0-NG, MARSHALING
AA1-S-EH0-S-ER0, COPROCESSOR MICROPROCESSOR
EH1-D-L-IY0, DEADLY EDLEY HEADLEY HEDLEY MEDLEY PEDLEY REDLEY REDLY SMEDLEY
EY1-G-UH2-D, HAYGOOD
IH1-N-IH0-CH-ER0-AY2-Z, MINIATURIZE
EY1-N-L-AE2-N-D-ER0, MAINLANDER
IH1-N-JH-ER0, FRINGER GINGER HINGER INJURE
AO1-R-D-AA0-L, JORDAHL NORDAHL STORDAHL
AY1-F-AH0-S, DREYFUS TYPHUS
AY1-F-S-EY2-V-ER0, LIFESAVER
IY1-N-AH0-S-T-S, HYGIENISTS MACHINISTS MACHINISTS'
IY1-N-K-AO2-R-T, JEANCOURT
AH1-M-S-AH0-N, RUMSON
ER1-K-AO0-F, BERKOFF
EH1-M-IY0-AH0, ISCHEMIA VREMYA
AA1-S-P-ER0-Z, PROSPERS
AE1-S-N-ER0-Z, FASTENERS(2)
AO1-D-HH-ER0-S-T, BROADHURST
AE1-L-CH-Y-UW0-L-ER0, ALTSCHULER ALTSHULER
IH1-M-P-L-IH0-K-EY2-T-AH0-D, IMPLICATED
IY1-V-IY0-AH0-T-S, CHEVIOTS
EY1-G-R-OW0-Z, MONTENEGRO'S
OW1-L-D-F-EH2-D-ER0, GOLDFEDER
AE1-G-AH0-B-AA0-N-D, VAGABOND
AH1-NG-K-Y-AH0-L-ER0, AVUNCULAR
AE1-SH-N-AH0-L-IY0, INTERNATIONALLY(2) IRRATIONALLY(2) NATIONALLY(2) RATIONALLY(2)
IH1-CH-T, BEWITCHED DITCHED ENRICHED HITCHED LICHTE PITCHED STITCHED SWITCHED TWITCHED
OW1-P-AH0-L-IY2-N-Z, OPALINES
EH1-K-W-AH0-N, MEQUON
OW1-T-AH0-B-AH0-L-Z, NOTABLES
AE1-M-ER0-S-L-IY0, HAMMERSLEY
OW1-V-AA2-Z, TOVAZ
AE1-L-AH0-M-EH2-N-IY0-Z, ALIMENIES
AO1-Z-AH0-Z, CLAUSES PAUSES
ER1-F-IH2-N, MURFIN SERFIN
EY1-V-AH0-D-AO2-V, DAVYDOV
AE1-N-AH0-N-AO0-F, RACHMANINOFF
ER1-F-IH0-NG, SURFING
IH1-D-T-ER2-M-Z, MIDTERMS
IH1-R-M-AH0, BIERMA
IY1-K-AE2-P, KNEECAP RECAP
AY1-S-T-OW2-N, BLYSTONE EYESTONE
IH1-L-D-AH0-N, GILDEN GILDON TILDEN WILLDEN
IY1-R-T-N-IY0-AH0, CWIERTNIA
AA1-D-L-IH0-K, KADLEC
AA1-T-R-IY0, WATRY
AY1-P-EY2-P-ER0, FLYPAPER
AE1-F-AH0-L-Z, BAFFLES RAFFLES
EH1-S-T-R-AH0-S, ESTROUS ESTRUS
AA1-N-D-ER0-D, PONDERED SQUANDERED WANDERED
AA1-R-L-T-AH0-N-Z, CARLTON'S
AA1-L-AH0-D-ER0, SOLODAR
AY1-S-AH0-N-S-IH0-NG, LICENSING
EH1-T-IH0-NG-Z, GETTINGS SETTINGS
EY1-NG-G-AH0-L-Z, MANGELS
AE1-JH-IH2-N, CRAGIN HAGIN MAGIN MAGINN RAGIN
IH1-K-L-EY2-ER0, BRICKLAYER
IH1-N-T-AH0, AMINTA ARAMINTA JACINTA MINTA PINTA QUINTA SCINTA
AO1-L-S-W-ER0-TH, WALSWORTH
IH1-V-Y-AH0-L-AY2-Z, TRIVIALIZE(2)
AA1-P-IH2-K-S, TOPIX(2)
AA1-S-B-IY0, CROSBEY OSBY
EY1-S-W-EY2, PACEWAY PLACEWAY RACEWAY
IH1-L-AH0-W-IY0, WILLOWY
AA1-L-AH0-V-ER0, BOLIVAR OLIVER WOLAVER
EY1-S-T-R-OW0, SILVESTRO
IH1-SH-AH0-W-AA2-M, MISHAWAUM
AE1-T-AH0-N-D, FATTENED FLATTENED
AA1-R-D-AH0-N-Z, ARDEN'S DARDEN'S GARDEN'S GARDENS HARDEN'S HARDENS PARDONS
AA1-N-S-T-AH0-N-Z, JOHNSTON'S
IH1-F-N-AH0-S, STIFFNESS
AA1-M-Y-AH0-N-AH0-S, COMMUNISTS(3)
EH1-N-T-AH0-P-IY2-D, CENTIPEDE
IY1-S-T-OW0-N, PISTONE
UW1-D-AE2-D, DOODAD
UW1-D-EY2, JUDAY
AH1-N-IH2-T-S, WHODUNITS
EY1-N-D-EH0-Z, RESENDEZ
IY1-P-N-IY0, JEEPNEY
AO1-L-S-ER0, WALTZER(2)
AH1-M-B-ER0-ZH-EY2, SCHLUMBERGER
AA1-D-N-AE0-K-S, BRODNAX
AE1-F-S-M-AH0-N-SH-IH2-P, CRAFTSMANSHIP(2)
EH1-M-P-ER0-EH2-R-IY0, CONTEMPORARY TEMPORARY
EH1-T-S-T-AH2-F, PETSTUFF
AA1-Z-AH0-T-ER0-Z, DEPOSITOR'S DEPOSITORS
IY1-T-IH0-K, ACETIC(2)
AY1-F-ER0-IH0-NG, DECIPHERING
AA1-Z-M-AH0-N, BOZMAN BROZMAN OSMUN OZMUN ROZMAN
UW1-M-AH0-N-IH2-S-T, HUMANIST
UW1-M-T-AW2-N, BOOMTOWN
AO1-NG-F-IY2-L-D, LONGFIELD
IH1-T-S-W-ER2-TH, TITSWORTH
AE1-P-R-AA0-Y-UW0-N, KRAPRAYOON
EH1-G-Z, BEGGS BEGS DREGS EGGS GREG'S GREGGS IMREG'S KEGS L'EGGS LEG'S LEGS MEGGS NEGS PEGGS PEGS REGS
IY1-F-AH0-L-IH2-N, SCHIEFFELIN
UW1-N-Z-IY0-OW0, ANNUNZIO(2) DANNUNZIO
EH1-S-AH0-T, GRESSETT KNESSET
IH1-S-AH0-S, NARCISSUS
IY1-N-Z-W-EY2, QUEENSWAY
OW1-N-EY2-T-S, DONATES
UW1-K-L-IY0-AY2, NUCLEI
